,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
814,14382,423,40.4260005,-3.692108,2807907075.0,28004.0,3,0,1,0,2
815,3030,202,40.4014411,-3.6710215,2807903099.0,28007.0,6,2,1,0,2
825,5775,275,40.4232968,-3.6881776,2807904001.0,28001.0,4,2,1,0,2
828,3626,362,40.4494838,-3.5794825,2807921015.0,28042.0,1,2,1,0,2
829,2990,226,40.4118155,-3.701326,2807901067.0,28014.0,1,0,0,0,2
837,13377,637,40.4387106,-3.693162,2807907094.0,28003.0,3,0,1,0,2
839,2250,210,40.4433738,-3.6961022,2807907111.0,28003.0,0,2,1,0,2
840,6976,436,40.4825489,-3.6678299,2807915170.0,28033.0,9,0,1,0,2
841,15725,629,40.4362253,-3.6923466,2807907082.0,28010.0,6,2,1,0,2
846,8200,367,40.4485185,-3.6949146,2807906028.0,28020.0,0,0,1,1,2
847,3500,215,40.4368642,-3.6905622,2807907093.0,28010.0,8,2,1,1,2
848,4560,228,40.4197928,-3.7011343,2807901119.0,28014.0,12,0,1,0,2
849,10950,438,40.4534246,-3.6933006,2807906046.0,28020.0,4,0,1,0,2
850,10150,406,40.4556246,-3.6954006,2807906046.0,28020.0,4,0,1,0,2
852,17700,708,40.4535246,-3.6959006,2807906046.0,28020.0,2,0,1,0,2
854,11723,617,40.477161,-3.6733499,2807915161.0,28033.0,12,0,1,1,2
859,18600,620,40.4758085,-3.688118,2807908098.0,28029.0,34,0,1,0,2
860,5120,256,40.4174928,-3.7015343,2807901119.0,28014.0,2,0,1,0,2
862,10225,409,40.4536246,-3.6944006,2807906046.0,28020.0,2,0,1,0,2
865,22785,651,40.4484387,-3.693947,2807906029.0,28046.0,25,0,1,0,2
868,11571,609,40.475561,-3.6734499,2807915161.0,28033.0,8,0,1,1,2
869,19320,690,40.4778085,-3.689818,2807908098.0,28029.0,16,0,1,0,2
871,8865,466,40.4770352,-3.6720772,2807915161.0,28033.0,0,0,0,0,2
872,4900,250,40.4582558,-3.6898073,2807906064.0,28046.0,10,0,1,0,2
878,2800,202,40.4470091,-3.6894849,2807905003.0,28036.0,2,2,1,0,2
885,5061,241,40.4553185,-3.6939439,2807906062.0,28020.0,14,0,1,0,2
890,12500,500,40.4281572,-3.6791116,2807904114.0,28001.0,1,0,1,0,2
892,5675,454,40.4687148,-3.8008057,2807909072.0,28023.0,2,0,0,0,2
894,2691,234,40.3839244,-3.630724,2807913128.0,28031.0,4,0,1,0,2
913,5408,338,40.4796208,-3.7176673,2807908024.0,28035.0,2,0,1,0,2
917,8840,442,40.4185928,-3.6986343,2807901119.0,28014.0,3,0,1,0,2
919,8007,471,40.4598687,-3.6148793,2807921029.0,28042.0,0,0,0,0,2
920,10816,676,40.4759208,-3.7204673,2807908024.0,28035.0,2,0,1,0,2
927,9650,386,40.4232622,-3.6940728,2807901073.0,28004.0,5,0,1,0,2
929,2900,290,40.3839244,-3.630724,2807913128.0,28031.0,4,2,1,0,2
930,6214,690,40.4393742,-3.6318152,2807920119.0,28037.0,1,2,1,0,2
932,3000,215,40.448978,-3.6850933,2807905006.0,28002.0,2,2,1,1,2
933,6600,275,40.4245891,-3.6838949,2807904012.0,28001.0,4,2,1,0,2
934,13276,461,40.4446311,-3.6802528,2807905010.0,28002.0,3,2,1,1,2
935,5000,508,40.488072,-3.6941663,2807908111.0,28034.0,2,2,1,0,2
936,6600,275,40.4215283,-3.6861747,2807904012.0,28001.0,4,0,0,0,2
937,11700,300,40.4324382,-3.6876177,2807904118.0,28046.0,1,0,0,0,2
938,6000,250,40.4588423,-3.6922955,2807906064.0,28046.0,8,0,1,0,2
945,7340,367,40.3922152,-3.6743891,2807902083.0,28045.0,7,0,1,0,2
947,11989,631,40.4568397,-3.6662025,2807905053.0,28016.0,6,0,1,0,2
948,6600,275,40.4233891,-3.6839949,2807904012.0,28001.0,4,2,1,0,2
953,11700,585,40.3949152,-3.6765891,2807902083.0,28045.0,1,0,1,0,2
956,1580,210,40.3722198,-3.6410943,2807918046.0,28031.0,1,0,0,0,2
957,9600,300,40.4323124,-3.6869763,2807904118.0,28006.0,1,0,1,0,2
960,4780,239,40.3947152,-3.6743891,2807902083.0,28045.0,9,0,1,0,2
964,14252,509,40.4182094,-3.6916102,2807904001.0,28014.0,5,0,1,0,2
968,3500,550,40.4882154,-3.6657939,2807916106.0,28050.0,3,2,1,0,2
973,4400,200,40.420842,-3.7040255,2807901117.0,28013.0,8,0,1,0,2
974,12056,548,40.419442,-3.7041255,2807901117.0,28013.0,6,0,1,0,2
975,1580,211,40.37384,-3.6422856,2807918046.0,28031.0,1,2,1,0,2
978,11986,461,40.4442311,-3.6822528,2807905010.0,28002.0,3,0,0,0,2
992,5320,560,40.4853466,-3.6694151,2807916106.0,28050.0,1,0,1,0,2
996,4800,320,40.45436,-3.6948909,2807906046.0,28020.0,2,0,1,0,2
999,4902,516,40.4863466,-3.6709151,2807916106.0,28050.0,3,0,1,0,2
