,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
1896,3888,216,41.3867805,2.1532228,801902118.0,8036.0,0,0,0,0,2
1897,7956,442,41.3872805,2.1531228,801902118.0,8036.0,0,0,0,0,2
1899,18120,604,41.3936377,2.1510025,801905067.0,8006.0,9,0,1,0,2
1900,7536,942,41.3412064,2.1226853,801903025.0,8040.0,0,0,0,0,3
1901,29650,1186,41.3566399,2.1377776,801903030.0,8038.0,0,0,0,0,3
1902,21903,894,41.4044893,2.1944599,801910042.0,8018.0,11,0,1,0,3
1903,3159,526,41.3847283,2.1542069,801902118.0,8029.0,0,0,0,0,2
1904,17160,780,41.4036893,2.1913599,801910042.0,8018.0,2,0,0,0,2
1905,16500,1100,41.3814013,2.1517033,801902145.0,8015.0,0,0,0,0,3
1906,74879,3056,41.3967785,2.192636,801910043.0,8018.0,0,0,0,0,3
1907,29338,1128,41.4049461,2.1890717,801910042.0,8018.0,13,0,1,0,3
1918,4290,260,41.3916668,2.1598347,801902081.0,8008.0,4,2,1,1,2
1919,12000,602,41.396457,2.1534159,801905068.0,8006.0,1,0,1,1,2
1921,2040,180,41.3909663,2.1744664,801902073.0,8010.0,3,1,1,0,1
1926,600,60,41.3893794,2.1740769,801902075.0,8010.0,5,1,1,0,1
1927,1260,158,41.4128159,2.1416238,801906007.0,8023.0,0,0,0,0,1
1928,2182,216,41.3930274,2.1257771,801905018.0,8034.0,0,0,1,0,2
1929,2914,224,41.3787437,2.127418,801904037.0,8028.0,0,0,1,0,2
1930,1194,116,41.3816257,2.1521577,801902141.0,8015.0,0,0,1,0,1
1932,38000,2000,41.412513,2.2078979,801910094.0,8019.0,9,0,1,0,3
1933,7000,351,41.3953932,2.1441541,801905059.0,8021.0,3,0,0,0,2
1934,5300,265,41.3955869,2.1600281,801902083.0,8008.0,1,0,1,0,2
1935,1554,111,41.3882335,2.1584712,801902092.0,8011.0,7,2,1,0,1
1936,1100,79,41.3982403,2.1392504,801905051.0,8021.0,3,1,1,1,1
1937,1200,115,41.4102035,2.1373944,801905096.0,8022.0,0,0,0,0,1
1938,1200,115,41.4106035,2.1410944,801905096.0,8022.0,0,2,1,0,1
1950,17355,1157,41.3672029,2.139314,801903036.0,8038.0,5,4,1,0,3
1951,1675,149,41.3851386,2.1670793,801901021.0,8001.0,3,1,1,0,1
1952,1100,116,41.4009517,2.1577236,801906048.0,8012.0,0,1,1,0,1
1956,4274,259,41.3939668,2.1592347,801902081.0,8008.0,4,0,1,1,2
1958,800,70,41.3815339,2.1759842,801901028.0,8002.0,2,1,0,0,1
1961,3100,124,41.3863269,2.1293507,801904028.0,8028.0,6,2,1,0,1
1962,22712,927,41.4034893,2.1943599,801910042.0,8018.0,11,6,1,0,3
1965,4950,266,41.3964086,2.1235908,801905013.0,8034.0,0,2,1,0,2
1966,2442,132,41.4067997,2.2070219,801910076.0,8019.0,0,1,1,0,1
1967,43700,2300,41.4004304,2.1984475,801910064.0,8005.0,6,1,1,0,3
1968,21850,1150,41.4002304,2.2006475,801910064.0,8005.0,5,1,1,0,3
1969,3100,200,41.3887899,2.1748466,801902076.0,8010.0,3,2,1,0,2
1970,2800,248,41.3930747,2.1660796,801902078.0,8007.0,0,0,1,0,2
1975,17160,780,41.4025893,2.1945599,801910042.0,8018.0,2,6,1,0,2
1977,7128,396,41.3920742,2.1648594,801902081.0,8007.0,3,2,1,0,2
1979,2400,165,41.3956263,2.1914819,801910043.0,8005.0,5,2,1,0,1
1981,34351,1237,41.3909638,2.1274276,801904024.0,8034.0,2,4,1,0,3
1982,3240,180,41.3915533,2.1651372,801902078.0,8007.0,2,2,1,0,1
1983,2150,177,41.3950154,2.1654782,801902080.0,8009.0,5,0,1,0,1
1988,1821,111,41.3887335,2.1587712,801902092.0,8011.0,6,2,1,0,1
1989,4947,335,41.3869903,2.1720742,801902077.0,8010.0,7,4,1,0,2
1990,1729,216,41.3921274,2.1248771,801905018.0,8034.0,0,3,1,0,2
1995,2702,193,41.3871335,2.1584712,801902092.0,8011.0,5,2,1,0,1
1996,15818,959,41.4071108,2.1732305,801902042.0,8025.0,6,3,1,0,3
1998,2000,160,41.3888039,2.1629709,801902079.0,8007.0,6,2,1,0,1
1999,1528,191,41.3793127,2.1504318,801902141.0,8015.0,0,2,1,0,1
2000,1552,135,41.3820819,2.1382577,801904003.0,8029.0,3,2,1,0,1
2001,3000,180,41.389265,2.1755739,801902076.0,8010.0,3,2,1,0,1
2003,49280,2464,41.407964,2.2098553,801910076.0,8019.0,13,8,1,0,3
2005,24640,1232,41.408464,2.2078553,801910076.0,8019.0,8,2,1,0,3
2006,13700,685,41.407064,2.2092553,801910076.0,8019.0,4,2,1,0,2
2007,1250,129,41.3870412,2.1446711,801902113.0,8029.0,1,1,1,0,1
2009,23250,1011,41.3997143,2.1887318,801910043.0,8018.0,1,4,1,0,3
2010,114798,6042,41.4117172,2.2060501,801910101.0,8020.0,6,10,1,0,3
2011,57399,3021,41.4130172,2.2052501,801910101.0,8020.0,4,2,1,0,3
2012,3395,212,41.3963102,2.1479491,801905067.0,8006.0,7,2,1,0,2
2013,14569,857,41.4128172,2.2057501,801910101.0,8020.0,3,2,1,0,3
2014,19133,1007,41.4120172,2.2048501,801910101.0,8020.0,5,2,1,0,3
2016,1236,103,41.3820868,2.1433436,801902127.0,8029.0,3,3,1,0,1
2017,1320,110,41.3810814,2.1422083,801903113.0,8029.0,0,3,1,0,1
2018,14990,1000,41.395536,2.197749,801910043.0,8005.0,7,0,1,0,3
2020,9672,806,41.353831,2.1438619,801903025.0,8038.0,1,0,1,0,3
2021,111090,3703,41.3944377,2.1507025,801905067.0,8006.0,6,1,1,0,3
2023,33880,1540,41.4061079,2.2183096,801910080.0,8019.0,5,6,1,0,3
2024,1500,81,41.391028,2.1638146,801902079.0,8007.0,1,1,1,0,1
2026,13936,1467,41.354231,2.1432619,801903025.0,8038.0,5,0,1,0,3
2030,2556,213,41.3824834,2.1433886,801902127.0,8029.0,0,3,1,0,2
